
2024/07/18 (19:04:00) | ===> btop++ v.1.3.2
2024/07/18 (19:04:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/20 (11:10:36) | ===> btop++ v.1.3.2
2024/07/20 (11:10:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/20 (11:35:24) | ===> btop++ v.1.3.2
2024/07/20 (11:35:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/20 (12:19:11) | ===> btop++ v.1.3.2
2024/07/20 (12:19:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/23 (20:41:12) | ===> btop++ v.1.3.2
2024/07/23 (20:41:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
